,Exchange date,USD_to_AUD
156,2018-06-06,1.3048016701461378
157,2018-06-07,1.3056534795665231
158,2018-06-08,1.3142331449599158
159,2018-06-09,1.3139742677810005
160,2018-06-10,1.3137153906020853
161,2018-06-11,1.3134565134231702
162,2018-06-12,1.3131976362442548
163,2018-06-13,1.3203063110641668
164,2018-06-14,1.3236267372600927
165,2018-06-15,1.3395847287340923
166,2018-06-16,1.3404837788876052
167,2018-06-17,1.341382829041118
168,2018-06-18,1.342281879194631
169,2018-06-19,1.3550135501355014
170,2018-06-20,1.3509862199405567
171,2018-06-21,1.358695652173913
172,2018-06-22,1.3517166801838334
173,2018-06-23,1.3504413038849674
174,2018-06-24,1.3491659275861014
175,2018-06-25,1.3478905512872354
176,2018-06-26,1.348435814455232
177,2018-06-27,1.3550135501355014
178,2018-06-28,1.3599891200870393
